ln_wealth,log_hazard
17.897585,-2.9504199
17.89854,-2.9512517
17.898848,-2.9520857
17.899811,-2.952919
17.900686,-2.9537532
17.90283,-2.9545879
17.904741,-2.9554236
17.905813,-2.9562609
17.906368,-2.9570978
17.906855,-2.9579353
17.908693,-2.9587736
17.908991,-2.9596138
17.909349,-2.9604535
17.909552,-2.9612939
17.910934,-2.9621351
17.911903,-2.9629781
17.912037,-2.9638205
17.912037,-2.9646637
17.912052,-2.9655077
17.912052,-2.9663537
17.914516,-2.9671991
17.917244,-2.968045
17.91741,-2.9688919
17.917427,-2.9697406
17.917427,-2.9705889
17.917442,-2.9714379
17.917442,-2.9722877
17.917727,-2.9731381
17.918022,-2.9739902
17.918251,-2.9748421
17.919333,-2.9756949
17.919922,-2.9765482
17.919922,-2.9774034
17.919922,-2.9782581
17.919922,-2.9791136
17.919954,-2.97997
17.922153,-2.980828
17.922705,-2.9816859
17.927433,-2.9825442
17.928154,-2.9834034
17.928873,-2.9842646
17.92889,-2.9851253
17.929703,-2.9859867
17.930794,-2.9868488
17.931339,-2.9877117
17.931753,-2.9885764
17.932318,-2.9894409
17.937649,-2.9903061
17.940434,-2.9911721
17.941322,-2.9920397
17.944675,-2.9929073
17.945942,-2.9937754
17.950491,-2.9946442
17.950901,-2.9955151
17.951391,-2.9963856
17.95158,-2.9972568
17.951689,-2.9981287
17.953449,-2.9990025
17.954926,-2.999876
17.956434,-3.0007503
17.957602,-3.0016253
17.959743,-3.0025022
17.959831,-3.0033786
17.959999,-3.004256
17.962948,-3.0051341
17.963474,-3.0060129
17.963974,-3.0068936
17.96464,-3.0077741
17.965164,-3.0086553
17.967337,-3.0095372
17.968725,-3.010421
17.969318,-3.0113046
17.970995,-3.0121889
